id,send_time_ns,recv_time_ns,rtt_ns,send_jitter_ns,rtt_jitter_ns,received
0,2135082606582,6000000000,-2129082606582,0,0,1
1,2135083574581,2392482084790655392,2392479949707080811,-32001,2392482078789687393,1
2,2135084571179,1773051310837867108,1773049175753295929,-3402,-619430773953784882,1
3,2135085572181,1773051310839027035,1773049175753454854,1002,158925,1
4,2135086572168,1773051310840029272,1773049175753457104,-13,2250,1
5,2135087572654,1773051310840941668,1773049175753369014,486,-88090,1
6,2135088568057,1773051310842431599,1773049175753863542,-4597,494528,1
7,2135089588221,1773051310843407667,1773049175753819446,20164,-44096,1
8,2135090579134,1773051310844239835,1773049175753660701,-9087,-158745,1
9,2135091577758,1773051310845301289,1773049175753723531,-1376,62830,1
10,2135092572270,1773051310846279307,1773049175753707037,-5488,-16494,1
11,2135093572676,1773051310847417353,1773049175753844677,406,137640,1
12,2135094582356,1773051310848289089,1773049175753706733,9680,-137944,1
13,2135095572773,1773051310849357851,1773049175753785078,-9583,78345,1
14,2135096571430,1773051310850247787,1773049175753676357,-1343,-108721,1
15,2135097574448,1773051310851459355,1773049175753884907,3018,208550,1
16,2135098586011,1773051310852493117,1773049175753907106,11563,22199,1
17,2135099578094,1773051310853243653,1773049175753665559,-7917,-241547,1
18,2135100576249,1773051310854325658,1773049175753749409,-1845,83850,1
19,2135101570419,1773051310855284892,1773049175753714473,-5830,-34936,1
20,2135102571020,1773051310856280799,1773049175753709779,601,-4694,1
21,2135103570396,1773051310857370674,1773049175753800278,-624,90499,1
22,2135104569073,1773051310858330477,1773049175753761404,-1323,-38874,1
23,2135105569488,1773051310859254440,1773049175753684952,415,-76452,1
24,2135106569927,1773051310860358351,1773049175753788424,439,103472,1
25,2135107582817,1773051310861377296,1773049175753794479,12890,6055,1
26,2135108572415,1773051310862247562,1773049175753675147,-10402,-119332,1
27,2135109572018,1773051310863296148,1773049175753724130,-397,48983,1
28,2135110567591,1773051310864302749,1773049175753735158,-4427,11028,1
29,2135111566850,1773051310865392149,1773049175753825299,-741,90141,1
30,2135112582963,1773051310866378432,1773049175753795469,16113,-29830,1
