id,send_time_ns,recv_time_ns,rtt_ns,send_jitter_ns,rtt_jitter_ns
0,1709139111336,109516092027552,107806952916216,0,0
1,1709140086064,8319168767331480224,8319167058191394160,-25272,8319059251238477944
2,1709140903487,8319168767331480224,8319167058190576737,-182577,-817423
3,1709141739975,8319168767331480224,8319167058189740249,-163512,-836488
4,1709142894399,8319168767331480224,8319167058188585825,154424,-1154424
5,1709146026930,8319168767331480224,8319167058185453294,2132531,-3132531
6,1709146654606,8319168767331480224,8319167058184825618,-372324,-627676
7,1709147658172,8319168767331480224,8319167058183822052,3566,-1003566
8,1709148659662,8319168767331480224,8319167058182820562,1490,-1001490
9,1709149663394,8319168767331480224,8319167058181816830,3732,-1003732
10,1709153203299,8319168767331480224,8319167058178276925,2539905,-3539905
11,1709153746789,8319168767331480224,8319167058177733435,-456510,-543490
12,1709154656588,8319168767331480224,8319167058176823636,-90201,-909799
13,1709155658299,8319168767331480224,8319167058175821925,1711,-1001711
14,1709156663576,8319168767331480224,8319167058174816648,5277,-1005277
15,1709157830768,8319168767331480224,8319167058173649456,167192,-1167192
16,1709158696487,8319168767331480224,8319167058172783737,-134281,-865719
17,1709159658105,8319168767331480224,8319167058171822119,-38382,-961618
18,1709160656706,8319168767331480224,8319167058170823518,-1399,-998601
19,1709161661693,8319168767331480224,8319167058169818531,4987,-1004987
20,1709162658834,8319168767331480224,8319167058168821390,-2859,-997141
21,1709163658322,8319168767331480224,8319167058167821902,-512,-999488
22,1709164617869,8319168767331480224,8319167058166862355,-40453,-959547
23,1709165666820,8319168767331480224,8319167058165813404,48951,-1048951
24,1709166657174,8319168767331480224,8319167058164823050,-9646,-990354
25,1709167653236,8319168767331480224,8319167058163826988,-3938,-996062
26,1709168652782,8319168767331480224,8319167058162827442,-454,-999546
27,1709169743674,8319168767331480224,8319167058161736550,90892,-1090892
28,1709170751466,8319168767331480224,8319167058160728758,7792,-1007792
29,1709171745014,8319168767331480224,8319167058159735210,-6452,-993548
30,1709172757316,8319168767331480224,8319167058158722908,12302,-1012302
31,1709173726947,8319168767331480224,8319167058157753277,-30369,-969631
32,1709174754530,8319168767331480224,8319167058156725694,27583,-1027583
33,1709175754153,8319168767331480224,8319167058155726071,-377,-999623
34,1709176729276,8319168767331480224,8319167058154750948,-24877,-975123
35,1709177757215,8319168767331480224,8319167058153723009,27939,-1027939
36,1709178743377,8319168767331480224,8319167058152736847,-13838,-986162
37,1709179727961,8319168767331480224,8319167058151752263,-15416,-984584
38,1709180744382,8319168767331480224,8319167058150735842,16421,-1016421
39,1709181651220,8319168767331480224,8319167058149829004,-93162,-906838
40,1709182653028,8319168767331480224,8319167058148827196,1808,-1001808
41,1709183739860,8319168767331480224,8319167058147740364,86832,-1086832
42,1709184656748,8319168767331480224,8319167058146823476,-83112,-916888
43,1709185760601,8319168767331480224,8319167058145719623,103853,-1103853
44,1709186657095,8319168767331480224,8319167058144823129,-103506,-896494
45,1709187652828,8319168767331480224,8319167058143827396,-4267,-995733
46,1709188738132,8319168767331480224,8319167058142742092,85304,-1085304
47,1709189656443,8319168767331480224,8319167058141823781,-81689,-918311
48,1709190653332,8319168767331480224,8319167058140826892,-3111,-996889
49,1709191734776,8319168767331480224,8319167058139745448,81444,-1081444
50,1709192656158,8319168767331480224,8319167058138824066,-78618,-921382
51,1709193759383,8319168767331480224,8319167058137720841,103225,-1103225
52,1709194760688,8319168767331480224,8319167058136719536,1305,-1001305
53,1709195743329,8319168767331480224,8319167058135736895,-17359,-982641
54,1709196652320,8319168767331480224,8319167058134827904,-91009,-908991
55,1709197743041,8319168767331480224,8319167058133737183,90721,-1090721
56,1709198657794,8319168767331480224,8319167058132822430,-85247,-914753
57,1709199652359,8319168767331480224,8319167058131827865,-5435,-994565
58,1709200759261,8319168767331480224,8319167058130720963,106902,-1106902
59,1709201656307,8319168767331480224,8319167058129823917,-102954,-897046
60,1709202654869,8319168767331480224,8319167058128825355,-1438,-998562
61,1709203652784,8319168767331480224,8319167058127827440,-2085,-997915
62,1709204651834,8319168767331480224,8319167058126828390,-950,-999050
63,1709205762554,8319168767331480224,8319167058125717670,110720,-1110720
64,1709206655497,8319168767331480224,8319167058124824727,-107057,-892943
65,1709207738959,8319168767331480224,8319167058123741265,83462,-1083462
66,1709208741008,8319168767331480224,8319167058122739216,2049,-1002049
67,1709209657958,8319168767331480224,8319167058121822266,-83050,-916950
68,1709210739467,8319168767331480224,8319167058120740757,81509,-1081509
69,1709211658182,8319168767331480224,8319167058119822042,-81285,-918715
70,1709212651867,8319168767331480224,8319167058118828357,-6315,-993685
71,1709213759296,8319168767331480224,8319167058117720928,107429,-1107429
72,1709214658023,8319168767331480224,8319167058116822201,-101273,-898727
73,1709215653034,8319168767331480224,8319167058115827190,-4989,-995011
