id,send_time_ns,recv_time_ns,rtt_ns,send_jitter_ns,rtt_jitter_ns
0,504949050018,504949392205,342187,0,0
1,504950024844,504950310749,285905,-25174,-56282
2,504951066383,504951369951,303568,41539,17663
3,504952025044,504952581853,556809,-41339,253241
4,504953027788,504953434144,406356,2744,-150453
5,504954028720,504954639490,610770,932,204414
6,504955043979,504955748743,704764,15259,93994
7,504956029350,504956732017,702667,-14629,-2097
8,504957061202,504957688007,626805,31852,-75862
9,504958045468,504958656678,611210,-15734,-15595
10,504959020946,504959440089,419143,-24522,-192067
11,504960034940,504960522990,488050,13994,68907
12,504961050089,504961500988,450899,15149,-37151
13,504962030704,504962447578,416874,-19385,-34025
14,504963033946,504963512285,478339,3242,61465
15,504964032526,504964472022,439496,-1420,-38843
16,504965034415,504965508729,474314,1889,34818
17,504966044412,504966595482,551070,9997,76756
18,504967044410,504967838292,793882,-2,242812
19,504968054769,504968831039,776270,10359,-17612
20,504969045063,504969691866,646803,-9706,-129467
21,504970040141,504970545216,505075,-4922,-141728
22,504971023001,504971573150,550149,-17140,45074
23,504972077791,504973025159,947368,54790,397219
24,504973135706,504973938934,803228,57915,-144140
25,504974052892,504974732909,680017,-82814,-123211
26,504975037705,504975688663,650958,-15187,-29059
27,504976036674,504976431141,394467,-1031,-256491
28,504977022605,504977520864,498259,-14069,103792
29,504978027557,504978481570,454013,4952,-44246
30,504979028184,504979445387,417203,627,-36810
31,504980029132,504980437947,408815,948,-8388
32,504981027684,504981378407,350723,-1448,-58092
33,504982040235,504982532812,492577,12551,141854
34,504983058326,504983679253,620927,18091,128350
35,504984044018,504984598696,554678,-14308,-66249
36,504985049202,504985662617,613415,5184,58737
37,504986029219,504986435521,406302,-19983,-207113
38,504987028006,504987776464,748458,-1213,342156
39,504988057716,504988676856,619140,29710,-129318
40,504989044732,504989735777,691045,-12984,71905
41,504990022567,504990676738,654171,-22165,-36874
42,504991034490,504991571244,536754,11923,-117417
43,504992017735,504992604059,586324,-16755,49570
44,504993036953,504993613315,576362,19218,-9962
45,504994029270,504994430280,401010,-7683,-175352
46,504995019108,504995362181,343073,-10162,-57937
47,504996015720,504996366571,350851,-3388,7778
