id,send_time_ns,recv_time_ns,rtt_ns,send_jitter_ns,rtt_jitter_ns,received
0,3235119817337,6000000000,-3229119817337,0,0,1
1,3235123037294,-1380574692743331072,-1380577927866368366,2219957,-1380574698746551029,1
2,3235123626828,-1380574692743331072,-1380577927866957900,-410466,-589534,1
3,3235124624102,-1380574692743331072,-1380577927867955174,-2726,-997274,1
4,3235125624429,-1380574692743331072,-1380577927868955501,327,-1000327,1
5,3235126627034,-1380574692743331072,-1380577927869958106,2605,-1002605,1
6,3235127622621,-1380574692743331072,-1380577927870953693,-4413,-995587,1
7,3235128622979,-1380574692743331072,-1380577927871954051,358,-1000358,1
8,3235129622340,-1380574692743331072,-1380577927872953412,-639,-999361,1
9,3235130625348,-1380574692743331072,-1380577927873956420,3008,-1003008,1
10,3235131626760,-1380574692743331072,-1380577927874957832,1412,-1001412,1
11,3235132623513,-1380574692743331072,-1380577927875954585,-3247,-996753,1
12,3235133621938,-1380574692743331072,-1380577927876953010,-1575,-998425,1
13,3235134623369,-1380574692743331072,-1380577927877954441,1431,-1001431,1
14,3235135622448,-1380574692743331072,-1380577927878953520,-921,-999079,1
15,3235136622899,-1380574692743331072,-1380577927879953971,451,-1000451,1
16,3235137621987,-1380574692743331072,-1380577927880953059,-912,-999088,1
17,3235138623582,-1380574692743331072,-1380577927881954654,1595,-1001595,1
18,3235139623759,-1380574692743331072,-1380577927882954831,177,-1000177,1
19,3235140622643,-1380574692743331072,-1380577927883953715,-1116,-998884,1
20,3235141623586,-1380574692743331072,-1380577927884954658,943,-1000943,1
21,3235142623640,-1380574692743331072,-1380577927885954712,54,-1000054,1
22,3235143623674,-1380574692743331072,-1380577927886954746,34,-1000034,1
23,3235144624892,-1380574692743331072,-1380577927887955964,1218,-1001218,1
24,3235145625137,-1380574692743331072,-1380577927888956209,245,-1000245,1
25,3235146629955,-1380574692743331072,-1380577927889961027,4818,-1004818,1
26,3235147628464,-1380574692743331072,-1380577927890959536,-1491,-998509,1
27,3235148625658,-1380574692743331072,-1380577927891956730,-2806,-997194,1
28,3235149625359,-1380574692743331072,-1380577927892956431,-299,-999701,1
29,3235150627699,-1380574692743331072,-1380577927893958771,2340,-1002340,1
30,3235151625333,-1380574692743331072,-1380577927894956405,-2366,-997634,1
31,3235152625581,-1380574692743331072,-1380577927895956653,248,-1000248,1
32,3235153624039,-1380574692743331072,-1380577927896955111,-1542,-998458,1
33,3235154646255,-1380574692743331072,-1380577927897977327,22216,-1022216,1
34,3235155625575,-1380574692743331072,-1380577927898956647,-20680,-979320,1
35,3235156624997,-1380574692743331072,-1380577927899956069,-578,-999422,1
36,3235157623798,-1380574692743331072,-1380577927900954870,-1199,-998801,1
37,3235158623945,-1380574692743331072,-1380577927901955017,147,-1000147,1
38,3235159626024,-1380574692743331072,-1380577927902957096,2079,-1002079,1
39,3235160624511,-1380574692743331072,-1380577927903955583,-1513,-998487,1
40,3235161623647,-1380574692743331072,-1380577927904954719,-864,-999136,1
41,3235162623187,-1380574692743331072,-1380577927905954259,-460,-999540,1
42,3235163623615,-1380574692743331072,-1380577927906954687,428,-1000428,1
43,3235164624282,-1380574692743331072,-1380577927907955354,667,-1000667,1
44,3235165628364,-1380574692743331072,-1380577927908959436,4082,-1004082,1
45,3235166623763,-1380574692743331072,-1380577927909954835,-4601,-995399,1
46,3235167627603,-1380574692743331072,-1380577927910958675,3840,-1003840,1
47,3235168624336,-1380574692743331072,-1380577927911955408,-3267,-996733,1
48,3235169623422,-1380574692743331072,-1380577927912954494,-914,-999086,1
49,3235170624233,-1380574692743331072,-1380577927913955305,811,-1000811,1
50,3235171625087,-1380574692743331072,-1380577927914956159,854,-1000854,1
51,3235172622811,-1380574692743331072,-1380577927915953883,-2276,-997724,1
52,3235173624439,-1380574692743331072,-1380577927916955511,1628,-1001628,1
53,3235174625476,-1380574692743331072,-1380577927917956548,1037,-1001037,1
54,3235175624913,-1380574692743331072,-1380577927918955985,-563,-999437,1
55,3235176622594,-1380574692743331072,-1380577927919953666,-2319,-997681,1
56,3235177624914,-1380574692743331072,-1380577927920955986,2320,-1002320,1
57,3235178623475,-1380574692743331072,-1380577927921954547,-1439,-998561,1
58,3235179622989,-1380574692743331072,-1380577927922954061,-486,-999514,1
59,3235180623640,-1380574692743331072,-1380577927923954712,651,-1000651,1
60,3235181622876,-1380574692743331072,-1380577927924953948,-764,-999236,1
61,3235182625139,-1380574692743331072,-1380577927925956211,2263,-1002263,1
62,3235183624691,-1380574692743331072,-1380577927926955763,-448,-999552,1
63,3235184622529,-1380574692743331072,-1380577927927953601,-2162,-997838,1
64,3235185624195,-1380574692743331072,-1380577927928955267,1666,-1001666,1
65,3235186623823,-1380574692743331072,-1380577927929954895,-372,-999628,1
66,3235187624606,-1380574692743331072,-1380577927930955678,783,-1000783,1
67,3235188625029,-1380574692743331072,-1380577927931956101,423,-1000423,1
68,3235189624515,-1380574692743331072,-1380577927932955587,-514,-999486,1
69,3235191016936,-1380574692743331072,-1380577927934348008,392421,-1392421,1
70,3235191622103,-1380574692743331072,-1380577927934953175,-394833,-605167,1
71,3235192625033,-1380574692743331072,-1380577927935956105,2930,-1002930,1
72,3235193624813,-1380574692743331072,-1380577927936955885,-220,-999780,1
73,3235194624470,-1380574692743331072,-1380577927937955542,-343,-999657,1
74,3235195625462,-1380574692743331072,-1380577927938956534,992,-1000992,1
75,3235196625175,-1380574692743331072,-1380577927939956247,-287,-999713,1
76,3235197623004,-1380574692743331072,-1380577927940954076,-2171,-997829,1
77,3235198624042,-1380574692743331072,-1380577927941955114,1038,-1001038,1
78,3235199625029,-1380574692743331072,-1380577927942956101,987,-1000987,1
79,3235200624590,-1380574692743331072,-1380577927943955662,-439,-999561,1
80,3235201624135,-1380574692743331072,-1380577927944955207,-455,-999545,1
81,3235202623852,-1380574692743331072,-1380577927945954924,-283,-999717,1
82,3235203624683,-1380574692743331072,-1380577927946955755,831,-1000831,1
83,3235204633671,-1380574692743331072,-1380577927947964743,8988,-1008988,1
84,3235206030516,3235206462659,432143,396845,1380577927948396886,1
85,3235206630177,3235206766811,136634,-400339,-295509,1
86,3235207616499,3235207725665,109166,-13678,-27468,1
87,3235208615921,3235208706607,90686,-578,-18480,1
88,3235209615858,3235209713899,98041,-63,7355,1
89,3235210614731,3235211266633,651902,-1127,553861,1
90,3235211619986,3235211692184,72198,5255,-579704,1
91,3235212615892,3235212750600,134708,-4094,62510,1
92,3235213615276,3235213706579,91303,-616,-43405,1
93,3235214614861,3235214697245,82384,-415,-8919,1
94,3235215615468,3235218223893,2608425,607,2526041,1
95,3235218207318,3235218312612,105294,1591850,-2503131,1
96,3235218614121,3235218694529,80408,-593197,-24886,1
97,3235219614316,3235219700362,86046,195,5638,1
98,3235220620884,3235220712281,91397,6568,5351,1
99,3235221614601,3235221696457,81856,-6283,-9541,1
100,3235222613812,3235222705927,92115,-789,10259,1
